url,isMalicious,domain,created,isIP
ks5u.com/shijuan/t.asp?str=2,0,ks5u.com,2005-12-05 08:40:04.000,False
sourcewatch.org/index.php?title=George_C._Marshall_Foundation,0,sourcewatch.org,2004-11-04 22:27:48.000,False
zaliang168.com/quote/show.php?itemid=2428,0,zaliang168.com,2011-07-11 02:09:44.000,False
gurufocus.com/stock/PNC,0,gurufocus.com,2004-12-11 00:00:00.000,False
more.com/beauty/hair/hair-tools-products,0,more.com,1994-07-14 00:00:00.000,False
cndenkei.com/Product/List.aspx?BrandId=150,0,cndenkei.com,2011-12-16 12:47:48.000,False
stltoday.com/news/local/metro/kirkwood-delays-decision-to-raze-mel-bay-building/article_b7d99c38-081d-11e1-9341-001a4bcf6878.html,0,stltoday.com,2000-07-27 00:00:00.000,False
wwaytv3.com/community-news,0,wwaytv3.com,1997-11-03 00:00:00.000,False
himss.org/news/unlocking-data-needed-drive-population-health-efforts,0,himss.org,1995-02-02 05:00:00.000,False
realtor.com/advice/finance/when-to-lock-in-mortgage-rates,0,realtor.com,1995-09-14 04:00:00.000,False
rumormillnews.com/cgi-bin/forum.cgi?noframes;read=58676,0,rumormillnews.com,1998-06-09 00:00:00.000,False
iafd.com/person.rme/perfid=HollyStevens/Gender=F/hollie-stevens.htm,0,iafd.com,1999-02-10 05:00:00.000,False
juxia.com/webgame/ljxz,0,juxia.com,2005-05-05 05:10:44.000,False
aegisbicycles.com/tag/bicycle-sizing,0,aegisbicycles.com,1997-05-05 00:00:00.000,False
qianhuiyuanlin.com/hezuohuoban,0,qianhuiyuanlin.com,2013-04-22 08:22:15.000,False
tomtop.com/knitwear-867,0,tomtop.com,2004-03-11 02:59:00.000,False
rt.com/viral/381559-russian-snow-art-pic,0,rt.com,1991-09-23 00:00:00.000,False
wyjadacze.pl/restauracje/6198-armenia/potrawy/2155-kebab-z-baraniny-w-cienkim-ciescie,0,wyjadacze.pl,2010-08-05 13:12:33.000,False
bigbadtoystore.com/bbts/product.aspx?product=MCF14327&mode=retail,0,bigbadtoystore.com,1999-07-19 13:07:52.000,False
eprints.org/uk/index.php/orcid-support,0,eprints.org,1999-04-22 04:00:00.000,False
b92.net/zivot/komentari.php?nav_id=1242060,0,b92.net,1998-09-03 00:00:00.000,False
snabtop.ru/category/superdzhaz,0,snabtop.ru,2012-10-22 19:05:09.000,False
homeadvisor.com/servicemagic,0,homeadvisor.com,1998-04-10 00:00:00.000,False
dvdtalk.ru/review,0,dvdtalk.ru,2008-03-24 21:00:00.000,False
entrepreneur.com/topic/mark-zuckerberg,0,entrepreneur.com,1994-10-11 00:00:00.000,False
picjumbo.com/category/people,0,picjumbo.com,2013-09-26 18:46:55.000,False
flickr.com/photos/postechimage,0,flickr.com,2003-11-22 00:00:00.000,False
greatbuildings.com/wiki/Epperson%2C_George%2C_House,0,greatbuildings.com,1998-06-03 00:00:00.000,False
travelportland.com/article/april-events,0,travelportland.com,1999-03-16 00:00:00.000,False
bollywoodlife.com/news-gossip/anushka-sharma-apes-ranveer-singh-by-promoting-phillauri-through-fashion-view-hq-pics,0,bollywoodlife.com,2004-05-29 18:43:00.000,False
thedailymeal.com/cook/special-occasions,0,thedailymeal.com,2003-10-01 00:00:00.000,False
foreignaffairs.com/topics/religion,0,foreignaffairs.com,1998-04-03 00:00:00.000,False
latintimes.com/reporters/armando-tinoco,0,latintimes.com,2001-07-18 03:39:04.000,False
wmtw.com/article/chuck-berry-through-the-years/9152363,0,wmtw.com,1996-04-23 04:00:00.000,False
oh100.com/a/201608/471923121080.html,0,oh100.com,2000-02-01 18:30:12.000,False
eso.org/public/announcements/ann16032,0,eso.org,1991-02-06 05:00:00.000,False
linkedin.com/pub/michelle-meldrum/5/b58/133,0,linkedin.com,2002-11-02 07:38:11.000,False
fengniao.com/forum/forum_101.html,0,fengniao.com,2000-08-10 00:00:00.000,False
pricewatch.com/cases_and_accessories,0,pricewatch.com,1995-09-26 00:00:00.000,False
powells.com/biblio?isbn=9781572245488,0,powells.com,1995-07-30 00:00:00.000,False
officegamespot.com/flashgames/canabalt.htm,0,officegamespot.com,2007-10-03 00:00:00.000,False
bestviewaptfiji.com/a-new-roof-my-newest-house-project/#respond,0,bestviewaptfiji.com,2015-12-31 00:00:00.000,False
zhuoku.com/zhuomianbizhi/computer/index-1.htm,0,zhuoku.com,2006-09-19 02:00:44.000,False
jslottery.com/News/NewsDetails/20976,0,jslottery.com,2001-02-15 04:00:00.000,False
thoroughbredts.com/npogf/na-ja-na-song-free-download-m.html,0,thoroughbredts.com,2015-08-11 00:00:00.000,False
cbslocal.com/2017/02/20/best-places-to-see-indie-rock-in-philadelphia,0,cbslocal.com,2005-08-28 00:00:00.000,False
livemint.com/Object/h91DzWUKgHwMnw2nYc3XdJ/mintcode.html,0,livemint.com,2006-11-29 10:35:06.000,False
mylot.com/tag/volunteers,0,mylot.com,2004-09-03 00:00:00.000,False
crainsnewyork.com/multimedia/podcasts,0,crainsnewyork.com,1998-09-13 00:00:00.000,False
linkedin.com/company/dekra,0,linkedin.com,2002-11-02 07:38:11.000,False
elpais.com/www.elpais.com/especial/van-morrison,0,elpais.com,2001-03-05 00:00:00.000,False
pjmedia.com/instapundit/260282/#respond,0,pjmedia.com,1999-08-26 00:00:00.000,False
kekenet.com/kaoyan/201607/435846.shtml,0,kekenet.com,2005-12-19 16:00:00.000,False
springfieldnewssun.com/news/opinion/commentary-for-100-years-the-markets-have-failed-health-insurance/S7CezzJ0XxgzplTA8XsHGO,0,springfieldnewssun.com,1997-10-29 05:00:00.000,False
naughtyamerica.com/site/housewife-1-on-1?nats=4.4.8.8.1169.0.0.0.0,0,naughtyamerica.com,2003-09-12 00:00:00.000,False
ctpost.com/news/article/Auto-industry-backs-commitment-to-fuel-economy-11009611.php,0,ctpost.com,1995-08-31 04:00:00.000,False
bloodhorse.com/horse-racing/articles/220521/equine-economic-impact-study-to-begin-collecting-data,0,bloodhorse.com,1995-07-30 04:00:00.000,False
ntgjwck.com/wky/2067.html,0,ntgjwck.com,2013-04-26 09:49:37.000,False
tehrantimes.com/news/411915/The-EU-could-collapse-completely-if-we-continue-to-vilify-nationalism,0,tehrantimes.com,1998-09-11 00:00:00.000,False
meishichina.com/recipe/4201566,0,meishichina.com,2004-05-23 16:00:00.000,False
softpicks.net/alphlst/l.htm,0,softpicks.net,2002-05-19 00:00:00.000,False
aif.ru/money/economy/es_vklyuchil_v_spisok_sankciy_po_sar_chetyreh_vysokopostavlennyh_siriycev,0,aif.ru,1997-02-03 17:01:42.000,False
thejewishmuseum.org/exhibitions/take-me-im-yours,0,thejewishmuseum.org,1997-03-18 05:00:00.000,False
cbyts.com/index/cate/id/37,0,cbyts.com,2006-03-21 00:00:00.000,False
333cn.com/zx/zhxw.html,0,333cn.com,2000-09-26 04:00:00.000,False
"chjjc.com?""../job/jysx/201608/t20160822_669793.html""",0,chjjc.com,2010-08-01 08:46:58.000,False
mta.info/maps/service_guide.pdf,0,mta.info,2001-07-31 20:41:01.000,False
ifeng.com/a/20170320/5477647_0.shtml,0,ifeng.com,2004-10-26 18:21:59.000,False
alwaysdata.com/legal,0,alwaysdata.com,2006-06-02 22:56:20.000,False
trud.com/companies/pochta-rossii,0,trud.com,2002-04-09 00:00:00.000,False
craphound.com/walh/about/with-a-little-help,0,craphound.com,1998-09-02 00:00:00.000,False
mynet.com/magazin/detay/magazin/fahriye-evcen-dizi-setini-birbirine-katti/99135,0,mynet.com,1994-12-19 00:00:00.000,False
sheetmusicplus.com/ensembles/chamber-music/500172,0,sheetmusicplus.com,1998-06-15 00:00:00.000,False
steampowered.com/search/?filter=weeklongdeals,0,steampowered.com,2000-08-09 00:00:00.000,False
jiemian.com/article/1160629.html,0,jiemian.com,2013-09-28 00:00:00.000,False
bleacherreport.com/articles/8594-2008-nfl-mock-draft-oakland-raiders,0,bleacherreport.com,2005-07-20 02:15:22.000,False
chubb.com/sa-ar,0,chubb.com,1995-09-07 04:00:00.000,False
sovsekretno.ru/articles/id/5652,0,sovsekretno.ru,2002-07-31 20:00:00.000,False
busytrade.com/catalogs/Industrial-Supplies-and-Machinery.html,0,busytrade.com,1999-06-23 04:00:00.000,False
onrpg.com/games/starlight-story,0,onrpg.com,2003-07-25 12:43:58.000,False
elance.com/o/jobs/browse/c/design-creative,0,elance.com,1999-03-03 21:00:00.000,False
facebook.com/studyincz,0,facebook.com,1997-03-28 21:00:00.000,False
creativemornings.com/talks/yi-hwa-hanna-carlin-gerbich-on-dodging-taboos-to-publish-women-s-and-men-s-health-in-the-middle-east,0,creativemornings.com,2008-09-23 19:19:37.000,False
pgatour.com/webcom/news/2016/09/06/stephan-jaeger-58-oral-history-long-form.html,0,pgatour.com,1995-06-11 04:00:00.000,False
discogs.com/users/create,0,discogs.com,2000-08-30 00:00:00.000,False
debtreductionservices.org,0,debtreductionservices.org,2004-03-12 16:47:39.000,False
abc7ny.com/news/fbi-warns-of-con-artists-using-scam-known-as-virtual-kidnappings/1808951,0,abc7ny.com,1999-02-12 05:00:00.000,False
pir.org/services/become-a-ngo-ong-registrar/step-2-meet-the-technical-requirements,0,pir.org,1996-02-18 05:00:00.000,False
jiancai.com/famenbenglei,0,jiancai.com,1999-07-19 03:48:46.000,False
ase.com/Tests/ASE-Certification-Tests/Find-a-Test-Center.aspx,0,ase.com,1993-07-07 00:00:00.000,False
cipd.co.uk:443/news-views/brexit-hub,0,cipd.co.uk,1998-06-26 00:00:00.000,False
thestreamcenter.com/search.asp?name=Lite%20Rock%20107.1,0,thestreamcenter.com,2005-08-31 04:14:08.000,False
moneymorning.com/2017/03/01/three-reasons-you-shouldnt-try-to-invest-like-warren-buffett,0,moneymorning.com,2004-02-13 00:00:00.000,False
cams.com/webcam/huge-tits-webcams,0,cams.com,1996-02-11 00:00:00.000,False
mlive.com/business/detroit,0,mlive.com,1996-12-03 05:00:00.000,False
nusmbablog.com/2011/03/nus-mba-john-molson-business-case.html,0,nusmbablog.com,2011-08-23 00:00:00.000,False
massagelatina.com,0,massagelatina.com,2006-04-01 00:00:00.000,False
simplyrecipes.com/recipes/classic_carrot_salad,0,simplyrecipes.com,2002-03-21 00:00:00.000,False
wcfcourier.com/entertainment/sunday-spike-ncaa-tv-audiences-increase-for-cbs-turner/article_61e2f025-a3ce-5ba2-9a4f-3183cdb72c0d.html,0,wcfcourier.com,1996-09-30 00:00:00.000,False
guampdn.com/news/bayanihan,0,guampdn.com,1996-02-26 21:00:00.000,False
freemusicarchive.org/music/download/66c313633fe3b695deed71d94f09561e11ea5074,0,freemusicarchive.org,2007-03-21 19:52:05.000,False
healthcare-informatics.com/hci100/infosys-0,0,healthcare-informatics.com,1997-09-02 00:00:00.000,False
montereybayaquarium.org/animals-and-experiences/exhibits/viva-baja,0,montereybayaquarium.org,1997-11-13 05:00:00.000,False
americanbanker.com/author/kevin-wack,0,americanbanker.com,1995-11-01 00:00:00.000,False
gohawaii.com/kauai/experiences/wedding/kauai-wedding-planners,0,gohawaii.com,1997-01-04 00:00:00.000,False
xtszlq.com/link/news,0,xtszlq.com,2011-10-15 05:42:43.000,False
sahalin.info/forum/index.php?topic=6959.msg13478#new,0,sahalin.info,2005-12-09 12:44:03.000,False
factbites.com/topics/Kingdom-of-Navarre,0,factbites.com,2004-08-19 07:16:03.000,False
wn.com/Paul_Mercier_as_Leon_Scott_Kennedy__2,0,wn.com,1995-03-23 05:00:00.000,False
tristatehomepage.com/news/world-news/chinese-park-installs-facial-recognition-software-to-stop-toilet-paper-thieves/676342055,0,tristatehomepage.com,2006-09-01 00:00:00.000,False
facs.org/advocacy/regulatory/pqrs,0,facs.org,1995-04-22 04:00:00.000,False
macys.com/shop/mens-clothing/mens-sunglasses?id=58262&cm_sp=us_hdr-_-men-_-58262_sunglasses-by-sunglass-hut_COL2,0,macys.com,1994-02-07 00:00:00.000,False
mcall.com/entertainment/mc-philadelphia-flower-show-preview-20170309-story.html#nt=oft08a-26gp2,0,mcall.com,1994-06-28 00:00:00.000,False
arlingtoncemetery.net/rcbartel.htm,0,arlingtoncemetery.net,2000-05-18 00:00:00.000,False
craigslist.org/geo.craigslist.org/iso/ar,0,craigslist.org,1997-09-11 04:00:00.000,False
imore.com/iphone-7/?utm_medium=navbar&utm_campaign=navigation&utm_source=im,0,imore.com,1999-09-19 00:00:00.000,False
corporationwiki.com/people/index.aspx/C/19/17,0,corporationwiki.com,2007-10-02 00:00:00.000,False
touregypt.net/featurestories/tutexhibit.htm,0,touregypt.net,1997-02-20 00:00:00.000,False
answers.com/topic/boyse,0,answers.com,1996-05-20 00:00:00.000,False
linkedin.com/pub/jimmy-reed/7/5a2/260,0,linkedin.com,2002-11-02 07:38:11.000,False
sierratradingpost.com/clearance~1,0,sierratradingpost.com,1997-07-04 00:00:00.000,False
9to5google.com/2017/03/20/guess-announces-its-connect-android-wear-powered-smartwatches-coming-later-in-2017/?share=google-plus-1,0,9to5google.com,2009-01-29 22:50:37.000,False
forumer.com/portal/resetpass,0,forumer.com,2003-12-17 00:00:00.000,False
fico.com/en/education/university,0,fico.com,1994-05-19 00:00:00.000,False
yahoo.com/question/index?qid=20080802120206AA9KSQQ,0,yahoo.com,1995-01-18 00:00:00.000,False
scripting.com/2017/03/18/whyIsTheMenuInTheTitleBarCrazy.html,0,scripting.com,1995-03-14 00:00:00.000,False
"nbzhongbiao.com?""../opinion/gjjy/201609/t20160902_671386.html""",0,nbzhongbiao.com,2016-08-19 00:00:00.000,False
indiebound.org/stores/book-passage,0,indiebound.org,2007-09-26 16:56:45.000,False
wima-womeninmusicandarts.com,0,wima-womeninmusicandarts.com,2011-07-17 00:00:00.000,False
vinaforest.com/vie/cac-nha-dau-tu/dau-tu-truc-tiep.html,0,vinaforest.com,2011-05-14 07:38:28.000,False
dillerfinefurniture.com,0,dillerfinefurniture.com,2006-08-17 00:00:00.000,False
qy6.com/syjh/syC3609.html,0,qy6.com,2003-11-14 00:00:00.000,False
chestnet.org/Publications/Other-Publications/PCCSU,0,chestnet.org,1995-10-16 04:00:00.000,False
tinypic.com/categories/quotes,0,tinypic.com,2004-04-25 00:32:58.000,False
mysinablog.com/articles/all/page5.html,0,mysinablog.com,2005-07-04 00:00:00.000,False
jd.com/www.jd.com/news.aspx?id=32015,0,jd.com,1992-09-28 21:00:00.000,False
lyricsmode.com/lyrics/b/beast,0,lyricsmode.com,2006-11-30 00:00:00.000,False
wfla.com/wfla-newschannel8-tampa-tv-schedule,0,wfla.com,1995-08-17 04:00:00.000,False
rosettacode.org/wiki/Special:RecentChangesLinked/Rosetta_Code,0,rosettacode.org,2007-01-18 14:29:05.000,False
agilent.com/en-us/support/landing/icp-oes?N=900000404,0,agilent.com,1995-10-04 04:00:00.000,False
v2ex.com/go/boston,0,v2ex.com,2005-06-24 00:00:00.000,False
pknmt.com/content/?275.html,0,pknmt.com,2012-03-15 03:25:30.000,False
androidguys.com/cdn-cgi/l/email-protection#d3a3a1b6a0a093b2bdb7a1bcbab7b4a6aaa0fdb0bcbe,0,androidguys.com,2007-11-13 00:00:00.000,False
maigoo.com/brand10/zhishi_4513.html,0,maigoo.com,2006-03-26 16:00:00.000,False
youmagine.com/designs/animal-ring-collection-dual-extrusion-version,0,youmagine.com,2011-12-17 20:31:46.000,False
cartodb.com/attribution,0,cartodb.com,2010-12-18 00:00:00.000,False
colourlovers.com/digital-art/trends/branding,0,colourlovers.com,2004-12-16 04:26:00.000,False
who2.com/job/inventor,0,who2.com,1998-03-06 00:00:00.000,False
